table,column,dtype,nullable_observed,missing_count,missing_rate
eligibility,mhspc_flag,bool,False,0,0.0
eligibility,eligibility_flag,bool,False,0,0.0
eligibility,eligible_for_arpi,bool,False,0,0.0
eligibility,eligibility_status,object,False,0,0.0
eligibility,eligibility_date,datetime64[ns],True,7719,0.7719
eligibility,eligibility_reason,object,True,7719,0.7719
eligibility,ineligibility_reason,object,True,2281,0.2281
eligibility,clinical_exclusion_reason,object,True,2943,0.2943
eligibility,contraindication_flag,bool,False,0,0.0
eligibility,contraindication_reason,object,True,9636,0.9636
eligibility,data_sufficiency_flag,bool,False,0,0.0
eligibility,possible_followup_days,int64,False,0,0.0
eligibility,minimum_followup_required_days,int64,False,0,0.0
eligibility,eligibility_rule_version,object,False,0,0.0
eligibility,source_assumption,object,False,0,0.0
eligibility,censor_date_at_generation,datetime64[ns],False,0,0.0
eligibility,synthetic_event_flag,bool,False,0,0.0
organization,organization_id,object,False,0,0.0
organization,market_code,object,False,0,0.0
organization,region,object,False,0,0.0
organization,organization_type,object,False,0,0.0
organization,care_setting,object,False,0,0.0
organization,academic_flag,bool,False,0,0.0
organization,multidisciplinary_team_flag,bool,False,0,0.0
organization,synthetic_organization_flag,bool,False,0,0.0
provider,provider_id,object,False,0,0.0
provider,organization_id,object,False,0,0.0
provider,market_code,object,False,0,0.0
provider,region,object,False,0,0.0
provider,provider_specialty,object,False,0,0.0
provider,care_setting,object,False,0,0.0
provider,academic_flag,bool,False,0,0.0
provider,annual_prostate_volume,int64,False,0,0.0
provider,multidisciplinary_team_flag,bool,False,0,0.0
provider,synthetic_provider_flag,bool,False,0,0.0
encounter,encounter_id,object,False,0,0.0
encounter,patient_id,object,False,0,0.0
encounter,market_code,object,False,0,0.0
encounter,provider_id,object,False,0,0.0
encounter,organization_id,object,False,0,0.0
encounter,encounter_date,datetime64[ns],False,0,0.0
encounter,encounter_type,object,False,0,0.0
encounter,provider_specialty,object,False,0,0.0
encounter,care_setting,object,False,0,0.0
encounter,sequence_number,int64,False,0,0.0
encounter,detail_level,object,False,0,0.0
encounter,synthetic_event_flag,bool,False,0,0.0
referral,referral_id,object,False,0,0.0
referral,patient_id,object,False,0,0.0
referral,market_code,object,False,0,0.0
referral,source_provider_id,object,False,0,0.0
referral,source_organization_id,object,False,0,0.0
referral,source_specialty,object,False,0,0.0
referral,destination_provider_id,object,False,0,0.0
referral,destination_organization_id,object,False,0,0.0
referral,destination_specialty,object,False,0,0.0
referral,referral_date,datetime64[ns],False,0,0.0
referral,completion_date,datetime64[ns],True,1435,0.265495
referral,referral_status,object,False,0,0.0
referral,referral_reason,object,False,0,0.0
referral,decision_owner_specialty,object,False,0,0.0
referral,detail_level,object,False,0,0.0
referral,synthetic_event_flag,bool,False,0,0.0
active_surveillance,active_surveillance_id,object,False,0,0.0
active_surveillance,patient_id,object,False,0,0.0
active_surveillance,market_code,object,False,0,0.0
active_surveillance,as_eligibility_flag,bool,False,0,0.0
active_surveillance,as_eligibility_reason,object,True,1688,0.333927
active_surveillance,as_ineligibility_reason,object,True,3367,0.666073
active_surveillance,as_start_date,datetime64[ns],True,3317,0.656182
active_surveillance,as_status,object,False,0,0.0
active_surveillance,as_exit_date,datetime64[ns],True,4590,0.908012
active_surveillance,as_exit_reason,object,True,4590,0.908012
active_surveillance,as_reclassification_event_flag,bool,False,0,0.0
active_surveillance,as_reclassification_date,datetime64[ns],True,4656,0.921068
active_surveillance,transition_to_treatment_flag,bool,False,0,0.0
active_surveillance,planned_treatment_start_date,datetime64[ns],True,4714,0.932542
active_surveillance,time_from_as_exit_to_treatment_days,object,True,4714,0.932542
active_surveillance,monitoring_event_count,int64,False,0,0.0
active_surveillance,active_surveillance_rule_version,object,False,0,0.0
active_surveillance,synthetic_event_flag,bool,False,0,0.0
observation,observation_id,object,False,0,0.0
observation,patient_id,object,False,0,0.0
observation,market_code,object,False,0,0.0
observation,observation_start_date,datetime64[ns],False,0,0.0
observation,observation_end_date,datetime64[ns],False,0,0.0
observation,last_observed_date,datetime64[ns],False,0,0.0
observation,loss_to_follow_up_date,datetime64[ns],True,9196,0.9196
observation,death_date,datetime64[ns],True,9228,0.9228
observation,censor_date,datetime64[ns],False,0,0.0
observation,censor_reason,object,False,0,0.0
observation,follow_up_days_from_diagnosis,int64,False,0,0.0
observation,observation_rule_version,object,False,0,0.0
observation,synthetic_event_flag,bool,False,0,0.0
treatment_episode,treatment_episode_id,object,False,0,0.0
treatment_episode,patient_id,object,False,0,0.0
treatment_episode,market_code,object,False,0,0.0
treatment_episode,treatment_line,int64,False,0,0.0
treatment_episode,treatment_start_date,datetime64[ns],False,0,0.0
treatment_episode,treatment_end_date,datetime64[ns],False,0,0.0
treatment_episode,treatment_status,object,False,0,0.0
treatment_episode,treatment_intent,object,False,0,0.0
treatment_episode,episode_reason,object,False,0,0.0
treatment_episode,transition_type,object,False,0,0.0
treatment_episode,previous_episode_id,object,True,2093,0.878305
treatment_episode,prescribing_provider_id,object,False,0,0.0
treatment_episode,discontinuation_flag,bool,False,0,0.0
treatment_episode,discontinuation_date,datetime64[ns],True,1948,0.817457
treatment_episode,discontinuation_reason,object,True,1948,0.817457
treatment_episode,switch_flag,bool,False,0,0.0
treatment_episode,switch_date,datetime64[ns],True,2208,0.926563
treatment_episode,restart_flag,bool,False,0,0.0
treatment_episode,restart_date,datetime64[ns],True,2268,0.951742
treatment_episode,temporary_gap_flag,bool,False,0,0.0
treatment_episode,tracking_component_id,object,True,341,0.143097
treatment_episode,prescription_event_count,int64,False,0,0.0
treatment_episode,max_refill_gap_days,int64,False,0,0.0
treatment_episode,synthetic_event_flag,bool,False,0,0.0
treatment_regimen,regimen_id,object,False,0,0.0
treatment_regimen,treatment_episode_id,object,False,0,0.0
treatment_regimen,patient_id,object,False,0,0.0
treatment_regimen,market_code,object,False,0,0.0
treatment_regimen,regimen_name,object,False,0,0.0
treatment_regimen,regimen_type,object,False,0,0.0
treatment_regimen,combination_strategy,object,False,0,0.0
treatment_regimen,regimen_start_date,datetime64[ns],False,0,0.0
treatment_regimen,regimen_end_date,datetime64[ns],False,0,0.0
treatment_regimen,regimen_status,object,False,0,0.0
treatment_regimen,intensification_flag,bool,False,0,0.0
treatment_regimen,guideline_concordance_classification,object,False,0,0.0
treatment_regimen,guideline_rule_version,object,False,0,0.0
treatment_regimen,synthetic_event_flag,bool,False,0,0.0
treatment_regimen_component,component_id,object,False,0,0.0
treatment_regimen_component,regimen_id,object,False,0,0.0
treatment_regimen_component,treatment_episode_id,object,False,0,0.0
treatment_regimen_component,patient_id,object,False,0,0.0
treatment_regimen_component,market_code,object,False,0,0.0
treatment_regimen_component,drug_name,object,False,0,0.0
treatment_regimen_component,drug_class,object,False,0,0.0
treatment_regimen_component,component_role,object,False,0,0.0
treatment_regimen_component,route,object,False,0,0.0
treatment_regimen_component,component_start_date,datetime64[ns],False,0,0.0
treatment_regimen_component,dispensing_required_flag,bool,False,0,0.0
treatment_regimen_component,component_end_date,datetime64[ns],False,0,0.0
treatment_regimen_component,component_status,object,False,0,0.0
treatment_regimen_component,planned_cycle_count,object,True,3780,0.893406
treatment_regimen_component,cycle_length_days,object,True,3780,0.893406
treatment_regimen_component,dispensing_detail_available_flag,bool,False,0,0.0
treatment_regimen_component,synthetic_event_flag,bool,False,0,0.0
prescription_event,prescription_event_id,object,False,0,0.0
prescription_event,patient_id,object,False,0,0.0
prescription_event,market_code,object,False,0,0.0
prescription_event,treatment_episode_id,object,False,0,0.0
prescription_event,regimen_id,object,False,0,0.0
prescription_event,component_id,object,False,0,0.0
prescription_event,service_date,datetime64[ns],False,0,0.0
prescription_event,product_id,object,True,1673,0.064223
prescription_event,drug_name,object,False,0,0.0
prescription_event,drug_class,object,False,0,0.0
prescription_event,quantity_dispensed,object,True,1673,0.064223
prescription_event,days_supply,int64,False,0,0.0
prescription_event,nominal_covered_until_date,datetime64[ns],False,0,0.0
prescription_event,covered_until_date,datetime64[ns],False,0,0.0
prescription_event,event_type,object,False,0,0.0
prescription_event,refill_gap_days,int64,False,0,0.0
prescription_event,refill_timing,object,False,0,0.0
prescription_event,adherence_profile,object,False,0,0.0
prescription_event,detail_level,object,False,0,0.0
prescription_event,synthetic_event_flag,bool,False,0,0.0
adverse_event,adverse_event_id,object,False,0,0.0
adverse_event,patient_id,object,False,0,0.0
adverse_event,market_code,object,False,0,0.0
adverse_event,treatment_episode_id,object,False,0,0.0
adverse_event,adverse_event_date,datetime64[ns],False,0,0.0
adverse_event,adverse_event_type,object,False,0,0.0
adverse_event,severity,object,False,0,0.0
adverse_event,serious_event_flag,bool,False,0,0.0
adverse_event,outcome_model_version,object,False,0,0.0
adverse_event,synthetic_event_flag,bool,False,0,0.0
outcome,outcome_id,object,False,0,0.0
outcome,patient_id,object,False,0,0.0
outcome,market_code,object,False,0,0.0
outcome,progression_event,bool,False,0,0.0
outcome,progression_date,datetime64[ns],True,7381,0.7381
outcome,castration_resistant_transition,bool,False,0,0.0
outcome,castration_resistant_date,datetime64[ns],True,9813,0.9813
outcome,hospitalisation_flag,bool,False,0,0.0
outcome,first_hospitalisation_date,datetime64[ns],True,8792,0.8792
outcome,adverse_event_flag,bool,False,0,0.0
outcome,adverse_event_count,int64,False,0,0.0
outcome,death_flag,bool,False,0,0.0
outcome,death_date,datetime64[ns],True,9228,0.9228
outcome,lost_to_follow_up_flag,bool,False,0,0.0
outcome,loss_to_follow_up_date,datetime64[ns],True,9196,0.9196
outcome,last_observed_date,datetime64[ns],False,0,0.0
outcome,censor_date,datetime64[ns],False,0,0.0
outcome,censor_reason,object,False,0,0.0
outcome,outcome_status,object,False,0,0.0
outcome,outcome_model_version,object,False,0,0.0
outcome,synthetic_event_flag,bool,False,0,0.0
patient_split,patient_split_id,object,False,0,0.0
patient_split,patient_id,object,False,0,0.0
patient_split,source_archetype_id,object,False,0,0.0
patient_split,market_code,object,False,0,0.0
patient_split,split,object,False,0,0.0
patient_split,split_rule_version,object,False,0,0.0
feature_timing,feature_metadata_id,object,False,0,0.0
feature_timing,feature_name,object,False,0,0.0
feature_timing,availability_stage,object,False,0,0.0
feature_timing,allowed_use_cases,object,False,0,0.0
feature_timing,future_information_flag,bool,False,0,0.0
feature_timing,predictor_allowed_flag,bool,False,0,0.0
feature_timing,availability_condition,object,False,0,0.0
feature_timing,target_label_flag,bool,False,0,0.0
feature_timing,timing_rule_version,object,False,0,0.0
patient_journey,patient_id,object,False,0,0.0
patient_journey,market_code,object,False,0,0.0
patient_journey,country,object,False,0,0.0
patient_journey,market_depth,object,False,0,0.0
patient_journey,source_archetype_id,object,False,0,0.0
patient_journey,age_at_index,int64,False,0,0.0
patient_journey,comorbidity_score,int64,False,0,0.0
patient_journey,frailty_proxy,float64,False,0,0.0
patient_journey,complexity_segment,object,False,0,0.0
patient_journey,region,object,False,0,0.0
patient_journey,insurance_type,object,True,277,0.0277
patient_journey,access_index,float64,False,0,0.0
patient_journey,socioeconomic_proxy,object,False,0,0.0
patient_journey,prostate_stage,object,False,0,0.0
patient_journey,metastatic_flag,bool,False,0,0.0
patient_journey,hormone_sensitive_flag,bool,False,0,0.0
patient_journey,castration_resistant_flag,bool,False,0,0.0
patient_journey,risk_group,object,False,0,0.0
patient_journey,psa_value,object,True,488,0.0488
patient_journey,gleason_score,object,True,412,0.0412
patient_journey,isup_grade_group,object,True,412,0.0412
patient_journey,mhspc_flag,bool,False,0,0.0
patient_journey,denominator_status,object,False,0,0.0
patient_journey,eligibility_flag,bool,False,0,0.0
patient_journey,eligible_for_arpi,bool,False,0,0.0
patient_journey,eligibility_date,datetime64[ns],True,7719,0.7719
patient_journey,eligibility_reason,object,True,7719,0.7719
patient_journey,ineligibility_reason,object,True,2281,0.2281
patient_journey,clinical_exclusion_reason,object,True,2943,0.2943
patient_journey,contraindication_flag,bool,False,0,0.0
patient_journey,data_sufficiency_flag,bool,False,0,0.0
patient_journey,eligibility_rule_version,object,False,0,0.0
patient_journey,initial_care_setting,object,False,0,0.0
patient_journey,initial_provider_specialty,object,False,0,0.0
patient_journey,pathway_care_setting,object,False,0,0.0
patient_journey,referral_status,object,False,0,0.0
patient_journey,referral_completed_flag,bool,False,0,0.0
patient_journey,referral_delay_days,object,True,6030,0.603
patient_journey,decision_owner_specialty,object,False,0,0.0
patient_journey,active_surveillance_eligible_flag,bool,False,0,0.0
patient_journey,active_surveillance_status,object,False,0,0.0
patient_journey,active_surveillance_start_date,datetime64[ns],True,8262,0.8262
patient_journey,active_surveillance_exit_date,datetime64[ns],True,9535,0.9535
patient_journey,active_surveillance_exit_reason,object,True,9535,0.9535
patient_journey,active_surveillance_reclassification_flag,bool,False,0,0.0
patient_journey,active_surveillance_reclassification_date,datetime64[ns],True,9601,0.9601
patient_journey,treatment_initiated,bool,False,0,0.0
patient_journey,treatment_episode_id,object,True,7907,0.7907
patient_journey,treatment_start_date,datetime64[ns],True,7907,0.7907
patient_journey,days_to_initiation,object,True,8248,0.8248
patient_journey,initiation_90d_status,object,False,0,0.0
patient_journey,initiated_within_30d,bool,False,0,0.0
patient_journey,initiated_within_60d,bool,False,0,0.0
patient_journey,initiated_within_90d,bool,False,0,0.0
patient_journey,eligible_not_initiated_90d,bool,False,0,0.0
patient_journey,initial_regimen,object,True,7907,0.7907
patient_journey,initial_regimen_type,object,True,7907,0.7907
patient_journey,combination_strategy,object,True,7907,0.7907
patient_journey,intensification_flag,bool,False,0,0.0
patient_journey,regimen_component_count,int64,False,0,0.0
patient_journey,prescription_event_count,int64,False,0,0.0
patient_journey,max_refill_gap_days,int64,False,0,0.0
patient_journey,event_coverage_until_date,datetime64[ns],True,8248,0.8248
patient_journey,discontinuation_flag,bool,False,0,0.0
patient_journey,discontinuation_date,datetime64[ns],True,9565,0.9565
patient_journey,switch_flag,bool,False,0,0.0
patient_journey,switch_date,datetime64[ns],True,9825,0.9825
patient_journey,restart_flag,bool,False,0,0.0
patient_journey,follow_up_days,int64,False,0,0.0
patient_journey,treatment_follow_up_days,object,True,7907,0.7907
patient_journey,observation_start_date,datetime64[ns],False,0,0.0
patient_journey,observation_end_date,datetime64[ns],False,0,0.0
patient_journey,last_observed_date,datetime64[ns],False,0,0.0
patient_journey,loss_to_follow_up_date,datetime64[ns],True,9196,0.9196
patient_journey,death_date,datetime64[ns],True,9228,0.9228
patient_journey,censor_date,datetime64[ns],False,0,0.0
patient_journey,censor_reason,object,False,0,0.0
patient_journey,progression_event,bool,False,0,0.0
patient_journey,progression_date,datetime64[ns],True,7381,0.7381
patient_journey,hospitalisation_flag,bool,False,0,0.0
patient_journey,first_hospitalisation_date,datetime64[ns],True,8792,0.8792
patient_journey,adverse_event_flag,bool,False,0,0.0
patient_journey,death_flag,bool,False,0,0.0
patient_journey,lost_to_follow_up_flag,bool,False,0,0.0
patient_journey,final_outcome_status,object,False,0,0.0
patient_journey,synthetic_data_flag,bool,False,0,0.0
patient_journey,synthetic_scenario_version,object,False,0,0.0
patient_journey,persistence_rule_version,object,False,0,0.0
patient_journey,persistence_3m_status,object,False,0,0.0
patient_journey,persistent_3m,boolean,True,8263,0.8263
patient_journey,persistence_6m_status,object,False,0,0.0
patient_journey,persistent_6m,boolean,True,8301,0.8301
patient_journey,persistence_12m_status,object,False,0,0.0
patient_journey,persistent_12m,boolean,True,8341,0.8341
patient_journey,persistence_12m_status_gap_30d,object,False,0,0.0
patient_journey,persistent_12m_gap_30d,boolean,True,8331,0.8331
patient_journey,persistence_12m_status_gap_60d,object,False,0,0.0
patient_journey,persistent_12m_gap_60d,boolean,True,8341,0.8341
patient_journey,persistence_12m_status_gap_90d,object,False,0,0.0
patient_journey,persistent_12m_gap_90d,boolean,True,8345,0.8345
