feature_metadata_id,feature_name,availability_stage,allowed_use_cases,future_information_flag,predictor_allowed_flag,availability_condition,target_label_flag,timing_rule_version
FTM-0045,active_surveillance_reclassification_date,active_surveillance,as_pathway_target_or_description,True,False,event_date_le_analysis_cutoff,False,FEATURE-TIMING-v2.0
FTM-0046,treatment_initiated,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0047,treatment_episode_id,treatment_start,discontinuation_12m,False,True,available_at_treatment_start,False,FEATURE-TIMING-v2.0
FTM-0048,treatment_start_date,treatment_start,discontinuation_12m,False,True,available_at_treatment_start,False,FEATURE-TIMING-v2.0
FTM-0049,days_to_initiation,treatment_start,discontinuation_12m,False,True,available_at_treatment_start,False,FEATURE-TIMING-v2.0
FTM-0050,initiation_90d_status,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0051,initiated_within_30d,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0052,initiated_within_60d,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0053,initiated_within_90d,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0054,eligible_not_initiated_90d,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0055,initial_regimen,treatment_start,discontinuation_12m,False,True,available_at_treatment_start,False,FEATURE-TIMING-v2.0
FTM-0056,initial_regimen_type,treatment_start,discontinuation_12m,False,True,available_at_treatment_start,False,FEATURE-TIMING-v2.0
FTM-0057,combination_strategy,treatment_start,discontinuation_12m,False,True,available_at_treatment_start,False,FEATURE-TIMING-v2.0
FTM-0058,intensification_flag,treatment_start,discontinuation_12m,False,True,available_at_treatment_start,False,FEATURE-TIMING-v2.0
FTM-0059,regimen_component_count,treatment_start,discontinuation_12m,False,True,available_at_treatment_start,False,FEATURE-TIMING-v2.0
FTM-0060,prescription_event_count,future,descriptive_only,True,False,event_date_le_analysis_cutoff,False,FEATURE-TIMING-v2.0
FTM-0061,max_refill_gap_days,future,descriptive_only,True,False,event_date_le_analysis_cutoff,False,FEATURE-TIMING-v2.0
FTM-0062,event_coverage_until_date,future,descriptive_only,True,False,event_date_le_analysis_cutoff,False,FEATURE-TIMING-v2.0
FTM-0063,discontinuation_flag,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0064,discontinuation_date,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0065,switch_flag,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0066,switch_date,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0067,restart_flag,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0068,follow_up_days,future,descriptive_only,True,False,event_date_le_analysis_cutoff,False,FEATURE-TIMING-v2.0
FTM-0069,treatment_follow_up_days,future,descriptive_only,True,False,event_date_le_analysis_cutoff,False,FEATURE-TIMING-v2.0
FTM-0070,observation_start_date,administrative,cohort_governance,False,False,not_a_model_feature,False,FEATURE-TIMING-v2.0
FTM-0071,observation_end_date,administrative,cohort_governance,False,False,not_a_model_feature,False,FEATURE-TIMING-v2.0
FTM-0072,last_observed_date,future,descriptive_only,True,False,event_date_le_analysis_cutoff,False,FEATURE-TIMING-v2.0
FTM-0073,loss_to_follow_up_date,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0074,death_date,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0075,censor_date,future,descriptive_only,True,False,event_date_le_analysis_cutoff,False,FEATURE-TIMING-v2.0
FTM-0076,censor_reason,future,descriptive_only,True,False,event_date_le_analysis_cutoff,False,FEATURE-TIMING-v2.0
FTM-0077,progression_event,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0078,progression_date,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0079,hospitalisation_flag,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0080,first_hospitalisation_date,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0081,adverse_event_flag,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0082,death_flag,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0083,lost_to_follow_up_flag,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0084,final_outcome_status,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0085,synthetic_data_flag,administrative,cohort_governance,False,False,not_a_model_feature,False,FEATURE-TIMING-v2.0
FTM-0086,synthetic_scenario_version,administrative,cohort_governance,False,False,not_a_model_feature,False,FEATURE-TIMING-v2.0
FTM-0087,persistence_rule_version,administrative,cohort_governance,False,False,not_a_model_feature,False,FEATURE-TIMING-v2.0
FTM-0088,persistence_3m_status,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0089,persistent_3m,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0090,persistence_6m_status,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0091,persistent_6m,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0092,persistence_12m_status,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0093,persistent_12m,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0094,persistence_12m_status_gap_30d,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0095,persistent_12m_gap_30d,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0096,persistence_12m_status_gap_60d,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0097,persistent_12m_gap_60d,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0098,persistence_12m_status_gap_90d,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
FTM-0099,persistent_12m_gap_90d,target_or_outcome,target_only,True,False,never_as_predictor,True,FEATURE-TIMING-v2.0
