provider_id,organization_id,market_code,region,provider_specialty,care_setting,academic_flag,annual_prostate_volume,multidisciplinary_team_flag,synthetic_provider_flag
PR-JP-00009,ORG-JP-008,JP,Chugoku-Shikoku-Kyushu,urology,community_oncology,False,113,False,True
PR-JP-00010,ORG-JP-005,JP,Chubu-Kansai,medical_oncology,academic_oncology,True,458,True,True
PR-JP-00011,ORG-JP-009,JP,Chugoku-Shikoku-Kyushu,medical_oncology,mixed_pathway,False,69,True,True
PR-FR-00000,ORG-FR-000,FR,South,urology,community_urology,False,236,False,True
PR-FR-00001,ORG-FR-001,FR,East,medical_oncology,community_oncology,False,286,False,True
PR-FR-00002,ORG-FR-002,FR,East,radiation_oncology,academic_oncology,True,126,True,True
PR-FR-00003,ORG-FR-003,FR,North,medical_oncology,mixed_pathway,False,148,True,True
PR-FR-00004,ORG-FR-002,FR,East,radiation_oncology,academic_oncology,True,139,True,True
PR-CN-00000,ORG-CN-000,CN,West,urology,community_urology,False,183,False,True
PR-CN-00001,ORG-CN-001,CN,East,medical_oncology,academic_oncology,True,240,True,True
PR-CN-00002,ORG-CN-002,CN,West,radiation_oncology,mixed_pathway,False,357,True,True
PR-CN-00003,ORG-CN-003,CN,South,urology,academic_oncology,True,375,True,True
PR-CN-00004,ORG-CN-004,CN,Central,radiation_oncology,mixed_pathway,False,344,True,True
PR-AU-00000,ORG-AU-000,AU,Victoria,urology,community_urology,False,181,False,True
PR-AU-00001,ORG-AU-001,AU,Queensland,medical_oncology,academic_oncology,True,491,True,True
PR-AU-00002,ORG-AU-002,AU,Other,radiation_oncology,academic_oncology,True,92,True,True
PR-AU-00003,ORG-AU-002,AU,Other,medical_oncology,academic_oncology,True,181,True,True
PR-CA-00000,ORG-CA-000,CA,West,urology,mixed_pathway,False,142,True,True
PR-CA-00001,ORG-CA-001,CA,Ontario,medical_oncology,academic_oncology,True,475,True,True
PR-CA-00002,ORG-CA-002,CA,West,radiation_oncology,academic_oncology,True,214,True,True
PR-CA-00003,ORG-CA-002,CA,West,medical_oncology,academic_oncology,True,355,True,True
