month,market_code,domain,record_count
2020-09,JP,patient,34
2020-09,US,patient,44
2020-10,AU,patient,10
2020-10,CA,patient,20
2020-10,CN,patient,9
2020-10,DE,patient,18
2020-10,FR,patient,15
2020-10,JP,patient,12
2020-10,US,patient,40
2020-11,AU,patient,9
2020-11,CA,patient,10
2020-11,CN,patient,12
2020-11,DE,patient,24
2020-11,FR,patient,19
2020-11,JP,patient,26
2020-11,US,patient,47
2020-12,AU,patient,16
2020-12,CA,patient,8
2020-12,CN,patient,19
2020-12,DE,patient,28
2020-12,FR,patient,16
2020-12,JP,patient,19
2020-12,US,patient,35
2021-01,AU,patient,10
2021-01,CA,patient,16
2021-01,CN,patient,23
2021-01,DE,patient,25
2021-01,FR,patient,22
2021-01,JP,patient,31
2021-01,US,patient,29
2021-02,AU,patient,15
2021-02,CA,patient,9
2021-02,CN,patient,11
2021-02,DE,patient,26
2021-02,FR,patient,14
2021-02,JP,patient,16
2021-02,US,patient,27
2021-03,AU,patient,10
2021-03,CA,patient,15
2021-03,CN,patient,12
2021-03,DE,patient,23
2021-03,FR,patient,21
2021-03,JP,patient,18
2021-03,US,patient,38
2021-04,AU,patient,16
2021-04,CA,patient,12
2021-04,CN,patient,17
2021-04,DE,patient,21
2021-04,FR,patient,17
2021-04,JP,patient,25
2021-04,US,patient,33
2021-05,AU,patient,9
2021-05,CA,patient,16
2021-05,CN,patient,16
2021-05,DE,patient,28
2021-05,FR,patient,14
2021-05,JP,patient,37
2021-05,US,patient,33
2021-06,AU,patient,8
2021-06,CA,patient,12
2021-06,CN,patient,16
2021-06,DE,patient,16
2021-06,FR,patient,11
2021-06,JP,patient,22
2021-06,US,patient,36
2021-07,AU,patient,13
2021-07,CA,patient,11
2021-07,CN,patient,26
2021-07,DE,patient,20
2021-07,FR,patient,11
2021-07,JP,patient,29
2021-07,US,patient,46
2021-08,AU,patient,17
2021-08,CA,patient,13
2021-08,CN,patient,16
2021-08,DE,patient,21
2021-08,FR,patient,23
2021-08,JP,patient,22
2021-08,US,patient,27
2021-09,AU,patient,7
2021-09,CA,patient,10
2021-09,CN,patient,17
2021-09,DE,patient,23
2021-09,FR,patient,15
2021-09,JP,patient,23
2021-09,US,patient,50
2021-10,AU,patient,16
2021-10,CA,patient,14
2021-10,CN,patient,14
2021-10,DE,patient,35
2021-10,FR,patient,21
2021-10,JP,patient,26
2021-10,US,patient,35
2021-11,AU,patient,8
2021-11,CA,patient,8
2021-11,CN,patient,16
2021-11,DE,patient,34
2021-11,FR,patient,11
2021-11,JP,patient,32
2021-11,US,patient,37
2021-12,AU,patient,16
2021-12,CA,patient,10
2021-12,CN,patient,14
2021-12,DE,patient,21
2021-12,FR,patient,19
2021-12,JP,patient,24
2021-12,US,patient,40
2022-01,AU,patient,5
2022-01,CA,patient,17
2022-01,CN,patient,16
2022-01,DE,patient,33
2022-01,FR,patient,14
2022-01,JP,patient,30
2022-01,US,patient,46
2022-02,AU,patient,12
2022-02,CA,patient,12
2022-02,CN,patient,16
2022-02,DE,patient,25
2022-02,FR,patient,18
2022-02,JP,patient,21
2022-02,US,patient,41
2022-03,AU,patient,14
2022-03,CA,patient,21
2022-03,CN,patient,10
2022-03,DE,patient,20
2022-03,FR,patient,16
2022-03,JP,patient,18
2022-03,US,patient,45
2022-04,AU,patient,6
2022-04,CA,patient,13
2022-04,CN,patient,10
2022-04,DE,patient,22
2022-04,FR,patient,18
2022-04,JP,patient,17
2022-04,US,patient,39
2022-05,AU,patient,11
2022-05,CA,patient,15
2022-05,CN,patient,21
2022-05,DE,patient,29
2022-05,FR,patient,15
2022-05,JP,patient,22
2022-05,US,patient,33
2022-06,AU,patient,9
2022-06,CA,patient,10
2022-06,CN,patient,22
2022-06,DE,patient,39
2022-06,FR,patient,11
2022-06,JP,patient,15
2022-06,US,patient,38
2022-07,AU,patient,9
2022-07,CA,patient,17
2022-07,CN,patient,16
2022-07,DE,patient,38
2022-07,FR,patient,18
2022-07,JP,patient,23
2022-07,US,patient,48
2022-08,AU,patient,9
2022-08,CA,patient,14
2022-08,CN,patient,20
2022-08,DE,patient,18
2022-08,FR,patient,17
2022-08,JP,patient,24
2022-08,US,patient,24
2022-09,AU,patient,9
2022-09,CA,patient,11
2022-09,CN,patient,30
2022-09,DE,patient,25
2022-09,FR,patient,12
2022-09,JP,patient,17
2022-09,US,patient,40
2022-10,AU,patient,11
2022-10,CA,patient,19
2022-10,CN,patient,23
2022-10,DE,patient,29
2022-10,FR,patient,11
2022-10,JP,patient,26
2022-10,US,patient,36
2022-11,AU,patient,12
2022-11,CA,patient,14
2022-11,CN,patient,16
2022-11,DE,patient,31
2022-11,FR,patient,15
2022-11,JP,patient,26
2022-11,US,patient,42
2022-12,AU,patient,9
2022-12,CA,patient,12
2022-12,CN,patient,17
2022-12,DE,patient,33
2022-12,FR,patient,15
2022-12,JP,patient,17
2022-12,US,patient,37
2023-01,AU,patient,19
2023-01,CA,patient,15
2023-01,CN,patient,13
2023-01,DE,patient,26
2023-01,FR,patient,14
2023-01,JP,patient,25
2023-01,US,patient,36
2023-02,AU,patient,12
2023-02,CA,patient,17
2023-02,CN,patient,15
2023-02,DE,patient,26
2023-02,FR,patient,16
2023-02,JP,patient,28
2023-02,US,patient,35
2023-03,AU,patient,13
2023-03,CA,patient,14
2023-03,CN,patient,20
2023-03,DE,patient,18
2023-03,FR,patient,17
2023-03,JP,patient,24
2023-03,US,patient,28
2023-04,AU,patient,10
2023-04,CA,patient,13
2023-04,CN,patient,16
2023-04,DE,patient,24
2023-04,FR,patient,17
2023-04,JP,patient,27
2023-04,US,patient,41
2023-05,AU,patient,13
2023-05,CA,patient,11
2023-05,CN,patient,20
2023-05,DE,patient,20
2023-05,FR,patient,12
2023-05,JP,patient,31
2023-05,US,patient,46
2023-06,AU,patient,9
2023-06,CA,patient,15
2023-06,CN,patient,8
2023-06,DE,patient,39
2023-06,FR,patient,10
2023-06,JP,patient,24
2023-06,US,patient,20
2023-07,AU,patient,4
2023-07,CA,patient,11
2023-07,CN,patient,20
2023-07,DE,patient,30
2023-07,FR,patient,17
2023-07,JP,patient,21
2023-07,US,patient,43
2023-08,AU,patient,10
2023-08,CA,patient,16
2023-08,CN,patient,17
2023-08,DE,patient,29
2023-08,FR,patient,20
2023-08,JP,patient,22
2023-08,US,patient,48
2023-09,AU,patient,11
2023-09,CA,patient,12
2023-09,CN,patient,16
2023-09,DE,patient,25
2023-09,FR,patient,17
2023-09,JP,patient,22
2023-09,US,patient,41
2023-10,AU,patient,12
2023-10,CA,patient,14
2023-10,CN,patient,20
2023-10,DE,patient,29
2023-10,FR,patient,18
2023-10,JP,patient,28
2023-10,US,patient,30
2023-11,AU,patient,14
2023-11,CA,patient,11
2023-11,CN,patient,14
2023-11,DE,patient,29
2023-11,FR,patient,13
2023-11,JP,patient,18
2023-11,US,patient,37
2023-12,AU,patient,12
2023-12,CA,patient,14
2023-12,CN,patient,17
2023-12,DE,patient,37
2023-12,FR,patient,18
2023-12,JP,patient,32
2023-12,US,patient,37
2024-01,AU,patient,8
2024-01,CA,patient,16
2024-01,CN,patient,18
2024-01,DE,patient,27
2024-01,FR,patient,19
2024-01,JP,patient,24
2024-01,US,patient,45
2024-02,AU,patient,15
2024-02,CA,patient,8
2024-02,CN,patient,20
2024-02,DE,patient,21
2024-02,FR,patient,15
2024-02,JP,patient,18
2024-02,US,patient,26
2024-03,AU,patient,16
2024-03,CA,patient,12
2024-03,CN,patient,17
2024-03,DE,patient,40
2024-03,FR,patient,13
2024-03,JP,patient,22
2024-03,US,patient,24
2024-04,AU,patient,10
2024-04,CA,patient,10
2024-04,CN,patient,16
2024-04,DE,patient,21
2024-04,FR,patient,17
2024-04,JP,patient,25
2024-04,US,patient,41
2024-05,AU,patient,13
2024-05,CA,patient,13
2024-05,CN,patient,18
2024-05,DE,patient,29
2024-05,FR,patient,11
2024-05,JP,patient,20
2024-05,US,patient,43
2024-06,AU,patient,8
2024-06,CA,patient,15
2024-06,CN,patient,23
2024-06,DE,patient,29
2024-06,FR,patient,16
2024-06,JP,patient,20
2024-06,US,patient,27
2024-07,AU,patient,9
2024-07,CA,patient,20
2024-07,CN,patient,21
2024-07,DE,patient,19
2024-07,FR,patient,25
2024-07,JP,patient,21
2024-07,US,patient,32
2024-08,AU,patient,17
2024-08,CA,patient,13
2024-08,CN,patient,26
2024-08,DE,patient,33
2024-08,FR,patient,13
2024-08,JP,patient,21
2024-08,US,patient,26
2024-09,AU,patient,12
2024-09,CA,patient,16
2024-09,CN,patient,12
2024-09,DE,patient,33
2024-09,FR,patient,24
2024-09,JP,patient,25
2024-09,US,patient,38
2019-01,AU,diagnosis,13
2019-01,CA,diagnosis,9
2019-01,CN,diagnosis,13
2019-01,DE,diagnosis,21
2019-01,FR,diagnosis,16
2019-01,JP,diagnosis,23
2019-01,US,diagnosis,40
2019-02,AU,diagnosis,7
2019-02,CA,diagnosis,12
2019-02,CN,diagnosis,15
2019-02,DE,diagnosis,24
2019-02,FR,diagnosis,16
2019-02,JP,diagnosis,23
2019-02,US,diagnosis,33
2019-03,AU,diagnosis,12
2019-03,CA,diagnosis,18
2019-03,CN,diagnosis,20
2019-03,DE,diagnosis,25
2019-03,FR,diagnosis,13
2019-03,JP,diagnosis,26
2019-03,US,diagnosis,43
2019-04,AU,diagnosis,10
2019-04,CA,diagnosis,10
2019-04,CN,diagnosis,14
2019-04,DE,diagnosis,20
2019-04,FR,diagnosis,14
2019-04,JP,diagnosis,20
2019-04,US,diagnosis,28
2019-05,AU,diagnosis,12
2019-05,CA,diagnosis,14
2019-05,CN,diagnosis,24
2019-05,DE,diagnosis,34
2019-05,FR,diagnosis,16
2019-05,JP,diagnosis,19
2019-05,US,diagnosis,48
2019-06,AU,diagnosis,9
2019-06,CA,diagnosis,6
2019-06,CN,diagnosis,12
2019-06,DE,diagnosis,32
2019-06,FR,diagnosis,15
2019-06,JP,diagnosis,25
2019-06,US,diagnosis,38
2019-07,AU,diagnosis,10
2019-07,CA,diagnosis,9
2019-07,CN,diagnosis,17
2019-07,DE,diagnosis,21
2019-07,FR,diagnosis,23
2019-07,JP,diagnosis,17
2019-07,US,diagnosis,44
2019-08,AU,diagnosis,22
2019-08,CA,diagnosis,11
2019-08,CN,diagnosis,16
2019-08,DE,diagnosis,34
2019-08,FR,diagnosis,11
2019-08,JP,diagnosis,26
2019-08,US,diagnosis,36
2019-09,AU,diagnosis,13
2019-09,CA,diagnosis,14
2019-09,CN,diagnosis,21
2019-09,DE,diagnosis,24
2019-09,FR,diagnosis,13
2019-09,JP,diagnosis,26
2019-09,US,diagnosis,32
2019-10,AU,diagnosis,12
2019-10,CA,diagnosis,13
2019-10,CN,diagnosis,21
2019-10,DE,diagnosis,23
2019-10,FR,diagnosis,12
2019-10,JP,diagnosis,33
2019-10,US,diagnosis,46
2019-11,AU,diagnosis,9
2019-11,CA,diagnosis,10
2019-11,CN,diagnosis,11
2019-11,DE,diagnosis,27
2019-11,FR,diagnosis,15
2019-11,JP,diagnosis,27
2019-11,US,diagnosis,42
2019-12,AU,diagnosis,15
2019-12,CA,diagnosis,13
2019-12,CN,diagnosis,24
2019-12,DE,diagnosis,28
2019-12,FR,diagnosis,19
2019-12,JP,diagnosis,18
2019-12,US,diagnosis,37
2020-01,AU,diagnosis,15
2020-01,CA,diagnosis,12
2020-01,CN,diagnosis,16
2020-01,DE,diagnosis,20
2020-01,FR,diagnosis,15
2020-01,JP,diagnosis,18
2020-01,US,diagnosis,39
2020-02,AU,diagnosis,5
2020-02,CA,diagnosis,8
2020-02,CN,diagnosis,16
2020-02,DE,diagnosis,21
2020-02,FR,diagnosis,11
2020-02,JP,diagnosis,20
2020-02,US,diagnosis,34
2020-03,AU,diagnosis,13
2020-03,CA,diagnosis,7
2020-03,CN,diagnosis,21
2020-03,DE,diagnosis,22
2020-03,FR,diagnosis,14
2020-03,JP,diagnosis,18
2020-03,US,diagnosis,36
2020-04,AU,diagnosis,10
2020-04,CA,diagnosis,18
2020-04,CN,diagnosis,19
2020-04,DE,diagnosis,15
2020-04,FR,diagnosis,14
2020-04,JP,diagnosis,26
2020-04,US,diagnosis,42
2020-05,AU,diagnosis,11
2020-05,CA,diagnosis,19
2020-05,CN,diagnosis,17
2020-05,DE,diagnosis,25
2020-05,FR,diagnosis,15
2020-05,JP,diagnosis,24
2020-05,US,diagnosis,43
2020-06,AU,diagnosis,15
2020-06,CA,diagnosis,11
2020-06,CN,diagnosis,21
2020-06,DE,diagnosis,21
2020-06,FR,diagnosis,19
2020-06,JP,diagnosis,24
2020-06,US,diagnosis,45
2020-07,AU,diagnosis,17
2020-07,CA,diagnosis,12
2020-07,CN,diagnosis,22
2020-07,DE,diagnosis,25
2020-07,FR,diagnosis,27
2020-07,JP,diagnosis,18
2020-07,US,diagnosis,35
2020-08,AU,diagnosis,16
2020-08,CA,diagnosis,14
2020-08,CN,diagnosis,18
2020-08,DE,diagnosis,22
2020-08,FR,diagnosis,17
2020-08,JP,diagnosis,19
2020-08,US,diagnosis,49
2020-09,AU,diagnosis,11
2020-09,CA,diagnosis,15
2020-09,CN,diagnosis,20
2020-09,DE,diagnosis,27
2020-09,FR,diagnosis,14
2020-09,JP,diagnosis,34
2020-09,US,diagnosis,44
2020-10,AU,diagnosis,10
2020-10,CA,diagnosis,20
2020-10,CN,diagnosis,9
2020-10,DE,diagnosis,18
2020-10,FR,diagnosis,15
2020-10,JP,diagnosis,12
2020-10,US,diagnosis,40
2020-11,AU,diagnosis,9
2020-11,CA,diagnosis,10
2020-11,CN,diagnosis,12
2020-11,DE,diagnosis,24
2020-11,FR,diagnosis,19
2020-11,JP,diagnosis,26
2020-11,US,diagnosis,47
2020-12,AU,diagnosis,16
2020-12,CA,diagnosis,8
2020-12,CN,diagnosis,19
2020-12,DE,diagnosis,28
2020-12,FR,diagnosis,16
2020-12,JP,diagnosis,19
2020-12,US,diagnosis,35
2021-01,AU,diagnosis,10
2021-01,CA,diagnosis,16
2021-01,CN,diagnosis,23
2021-01,DE,diagnosis,25
2021-01,FR,diagnosis,22
2021-01,JP,diagnosis,31
2021-01,US,diagnosis,29
2021-02,AU,diagnosis,15
2021-02,CA,diagnosis,9
2021-02,CN,diagnosis,11
2021-02,DE,diagnosis,26
2021-02,FR,diagnosis,14
2021-02,JP,diagnosis,16
2021-02,US,diagnosis,27
2021-03,AU,diagnosis,10
2021-03,CA,diagnosis,15
2021-03,CN,diagnosis,12
2021-03,DE,diagnosis,23
2021-03,FR,diagnosis,21
2021-03,JP,diagnosis,18
2021-03,US,diagnosis,38
2021-04,AU,diagnosis,16
2021-04,CA,diagnosis,12
2021-04,CN,diagnosis,17
2021-04,DE,diagnosis,21
2021-04,FR,diagnosis,17
2021-04,JP,diagnosis,25
2021-04,US,diagnosis,33
2021-05,AU,diagnosis,9
2021-05,CA,diagnosis,16
2021-05,CN,diagnosis,16
2021-05,DE,diagnosis,28
2021-05,FR,diagnosis,14
2021-05,JP,diagnosis,37
2021-05,US,diagnosis,33
2021-06,AU,diagnosis,8
2021-06,CA,diagnosis,12
2021-06,CN,diagnosis,16
2021-06,DE,diagnosis,16
2021-06,FR,diagnosis,11
2021-06,JP,diagnosis,22
2021-06,US,diagnosis,36
2021-07,AU,diagnosis,13
2021-07,CA,diagnosis,11
2021-07,CN,diagnosis,26
2021-07,DE,diagnosis,20
2021-07,FR,diagnosis,11
2021-07,JP,diagnosis,29
2021-07,US,diagnosis,46
2021-08,AU,diagnosis,17
2021-08,CA,diagnosis,13
2021-08,CN,diagnosis,16
2021-08,DE,diagnosis,21
2021-08,FR,diagnosis,23
2021-08,JP,diagnosis,22
2021-08,US,diagnosis,27
2021-09,AU,diagnosis,7
2021-09,CA,diagnosis,10
2021-09,CN,diagnosis,17
2021-09,DE,diagnosis,23
2021-09,FR,diagnosis,15
2021-09,JP,diagnosis,23
2021-09,US,diagnosis,50
2021-10,AU,diagnosis,16
2021-10,CA,diagnosis,14
2021-10,CN,diagnosis,14
2021-10,DE,diagnosis,35
2021-10,FR,diagnosis,21
2021-10,JP,diagnosis,26
2021-10,US,diagnosis,35
2021-11,AU,diagnosis,8
2021-11,CA,diagnosis,8
2021-11,CN,diagnosis,16
2021-11,DE,diagnosis,34
2021-11,FR,diagnosis,11
2021-11,JP,diagnosis,32
2021-11,US,diagnosis,37
2021-12,AU,diagnosis,16
2021-12,CA,diagnosis,10
2021-12,CN,diagnosis,14
2021-12,DE,diagnosis,21
2021-12,FR,diagnosis,19
2021-12,JP,diagnosis,24
2021-12,US,diagnosis,40
2022-01,AU,diagnosis,5
2022-01,CA,diagnosis,17
2022-01,CN,diagnosis,16
2022-01,DE,diagnosis,33
2022-01,FR,diagnosis,14
2022-01,JP,diagnosis,30
2022-01,US,diagnosis,46
2022-02,AU,diagnosis,12
2022-02,CA,diagnosis,12
2022-02,CN,diagnosis,16
2022-02,DE,diagnosis,25
2022-02,FR,diagnosis,18
2022-02,JP,diagnosis,21
2022-02,US,diagnosis,41
2022-03,AU,diagnosis,14
2022-03,CA,diagnosis,21
2022-03,CN,diagnosis,10
2022-03,DE,diagnosis,20
2022-03,FR,diagnosis,16
2022-03,JP,diagnosis,18
2022-03,US,diagnosis,45
2022-04,AU,diagnosis,6
2022-04,CA,diagnosis,13
2022-04,CN,diagnosis,10
2022-04,DE,diagnosis,22
2022-04,FR,diagnosis,18
2022-04,JP,diagnosis,17
2022-04,US,diagnosis,39
2022-05,AU,diagnosis,11
2022-05,CA,diagnosis,15
2022-05,CN,diagnosis,21
2022-05,DE,diagnosis,29
2022-05,FR,diagnosis,15
2022-05,JP,diagnosis,22
2022-05,US,diagnosis,33
2022-06,AU,diagnosis,9
2022-06,CA,diagnosis,10
2022-06,CN,diagnosis,22
2022-06,DE,diagnosis,39
2022-06,FR,diagnosis,11
2022-06,JP,diagnosis,15
2022-06,US,diagnosis,38
2022-07,AU,diagnosis,9
2022-07,CA,diagnosis,17
2022-07,CN,diagnosis,16
2022-07,DE,diagnosis,38
2022-07,FR,diagnosis,18
2022-07,JP,diagnosis,23
2022-07,US,diagnosis,48
2022-08,AU,diagnosis,9
2022-08,CA,diagnosis,14
2022-08,CN,diagnosis,20
2022-08,DE,diagnosis,18
2022-08,FR,diagnosis,17
2022-08,JP,diagnosis,24
2022-08,US,diagnosis,24
2022-09,AU,diagnosis,9
2022-09,CA,diagnosis,11
2022-09,CN,diagnosis,30
2022-09,DE,diagnosis,25
2022-09,FR,diagnosis,12
2022-09,JP,diagnosis,17
2022-09,US,diagnosis,40
2022-10,AU,diagnosis,11
2022-10,CA,diagnosis,19
2022-10,CN,diagnosis,23
2022-10,DE,diagnosis,29
2022-10,FR,diagnosis,11
2022-10,JP,diagnosis,26
2022-10,US,diagnosis,36
2022-11,AU,diagnosis,12
2022-11,CA,diagnosis,14
2022-11,CN,diagnosis,16
2022-11,DE,diagnosis,31
2022-11,FR,diagnosis,15
2022-11,JP,diagnosis,26
2022-11,US,diagnosis,42
2022-12,AU,diagnosis,9
2022-12,CA,diagnosis,12
2022-12,CN,diagnosis,17
2022-12,DE,diagnosis,33
2022-12,FR,diagnosis,15
2022-12,JP,diagnosis,17
2022-12,US,diagnosis,37
2023-01,AU,diagnosis,19
2023-01,CA,diagnosis,15
2023-01,CN,diagnosis,13
2023-01,DE,diagnosis,26
2023-01,FR,diagnosis,14
2023-01,JP,diagnosis,25
2023-01,US,diagnosis,36
2023-02,AU,diagnosis,12
2023-02,CA,diagnosis,17
2023-02,CN,diagnosis,15
2023-02,DE,diagnosis,26
2023-02,FR,diagnosis,16
2023-02,JP,diagnosis,28
2023-02,US,diagnosis,35
2023-03,AU,diagnosis,13
2023-03,CA,diagnosis,14
2023-03,CN,diagnosis,20
2023-03,DE,diagnosis,18
2023-03,FR,diagnosis,17
2023-03,JP,diagnosis,24
2023-03,US,diagnosis,28
2023-04,AU,diagnosis,10
2023-04,CA,diagnosis,13
2023-04,CN,diagnosis,16
2023-04,DE,diagnosis,24
2023-04,FR,diagnosis,17
2023-04,JP,diagnosis,27
2023-04,US,diagnosis,41
2023-05,AU,diagnosis,13
2023-05,CA,diagnosis,11
2023-05,CN,diagnosis,20
2023-05,DE,diagnosis,20
2023-05,FR,diagnosis,12
2023-05,JP,diagnosis,31
2023-05,US,diagnosis,46
2023-06,AU,diagnosis,9
2023-06,CA,diagnosis,15
2023-06,CN,diagnosis,8
2023-06,DE,diagnosis,39
2023-06,FR,diagnosis,10
2023-06,JP,diagnosis,24
2023-06,US,diagnosis,20
2023-07,AU,diagnosis,4
2023-07,CA,diagnosis,11
2023-07,CN,diagnosis,20
2023-07,DE,diagnosis,30
2023-07,FR,diagnosis,17
2023-07,JP,diagnosis,21
2023-07,US,diagnosis,43
2023-08,AU,diagnosis,10
2023-08,CA,diagnosis,16
2023-08,CN,diagnosis,17
2023-08,DE,diagnosis,29
2023-08,FR,diagnosis,20
2023-08,JP,diagnosis,22
2023-08,US,diagnosis,48
2023-09,AU,diagnosis,11
2023-09,CA,diagnosis,12
2023-09,CN,diagnosis,16
2023-09,DE,diagnosis,25
2023-09,FR,diagnosis,17
2023-09,JP,diagnosis,22
2023-09,US,diagnosis,41
2023-10,AU,diagnosis,12
2023-10,CA,diagnosis,14
2023-10,CN,diagnosis,20
2023-10,DE,diagnosis,29
2023-10,FR,diagnosis,18
2023-10,JP,diagnosis,28
2023-10,US,diagnosis,30
2023-11,AU,diagnosis,14
2023-11,CA,diagnosis,11
2023-11,CN,diagnosis,14
2023-11,DE,diagnosis,29
2023-11,FR,diagnosis,13
2023-11,JP,diagnosis,18
2023-11,US,diagnosis,37
2023-12,AU,diagnosis,12
2023-12,CA,diagnosis,14
2023-12,CN,diagnosis,17
2023-12,DE,diagnosis,37
2023-12,FR,diagnosis,18
2023-12,JP,diagnosis,32
2023-12,US,diagnosis,37
2024-01,AU,diagnosis,8
2024-01,CA,diagnosis,16
2024-01,CN,diagnosis,18
2024-01,DE,diagnosis,27
2024-01,FR,diagnosis,19
2024-01,JP,diagnosis,24
2024-01,US,diagnosis,45
2024-02,AU,diagnosis,15
2024-02,CA,diagnosis,8
2024-02,CN,diagnosis,20
2024-02,DE,diagnosis,21
2024-02,FR,diagnosis,15
2024-02,JP,diagnosis,18
2024-02,US,diagnosis,26
2024-03,AU,diagnosis,16
2024-03,CA,diagnosis,12
2024-03,CN,diagnosis,17
2024-03,DE,diagnosis,40
2024-03,FR,diagnosis,13
2024-03,JP,diagnosis,22
2024-03,US,diagnosis,24
2024-04,AU,diagnosis,10
2024-04,CA,diagnosis,10
2024-04,CN,diagnosis,16
2024-04,DE,diagnosis,21
2024-04,FR,diagnosis,17
2024-04,JP,diagnosis,25
2024-04,US,diagnosis,41
2024-05,AU,diagnosis,13
2024-05,CA,diagnosis,13
2024-05,CN,diagnosis,18
2024-05,DE,diagnosis,29
2024-05,FR,diagnosis,11
2024-05,JP,diagnosis,20
2024-05,US,diagnosis,43
2024-06,AU,diagnosis,8
2024-06,CA,diagnosis,15
2024-06,CN,diagnosis,23
2024-06,DE,diagnosis,29
2024-06,FR,diagnosis,16
2024-06,JP,diagnosis,20
2024-06,US,diagnosis,27
2024-07,AU,diagnosis,9
2024-07,CA,diagnosis,20
2024-07,CN,diagnosis,21
2024-07,DE,diagnosis,19
2024-07,FR,diagnosis,25
2024-07,JP,diagnosis,21
2024-07,US,diagnosis,32
2024-08,AU,diagnosis,17
2024-08,CA,diagnosis,13
2024-08,CN,diagnosis,26
2024-08,DE,diagnosis,33
2024-08,FR,diagnosis,13
2024-08,JP,diagnosis,21
2024-08,US,diagnosis,26
2024-09,AU,diagnosis,12
2024-09,CA,diagnosis,16
2024-09,CN,diagnosis,12
2024-09,DE,diagnosis,33
2024-09,FR,diagnosis,24
2024-09,JP,diagnosis,25
2024-09,US,diagnosis,38
2019-01,AU,disease_state_event,13
2019-01,CA,disease_state_event,9
2019-01,CN,disease_state_event,13
2019-01,DE,disease_state_event,21
2019-01,FR,disease_state_event,16
2019-01,JP,disease_state_event,23
