pathway,pathway_label,market_code,market_group,market_depth,n_30d,eligible_n_30d,eligible_observed_n_30d,eligible_proxy_n_30d,eligibility_uncertain_n_30d,evaluable_eligible_n_30d,censored_before_window_n_30d,initiated_n_30d,eligible_but_not_initiated_n_30d,initiation_rate_30d,treatment_gap_30d,wilson_95_lower_30d,wilson_95_upper_30d,non_intensified_n_30d,non_intensified_rate_30d,follow_up_adequacy_30d,missingness_rate_30d,confidence_category_30d,actionability_30d,conclusion_type_30d,initiation_event_type_30d,n_60d,eligible_n_60d,eligible_observed_n_60d,eligible_proxy_n_60d,eligibility_uncertain_n_60d,evaluable_eligible_n_60d,censored_before_window_n_60d,initiated_n_60d,eligible_but_not_initiated_n_60d,initiation_rate_60d,treatment_gap_60d,wilson_95_lower_60d,wilson_95_upper_60d,non_intensified_n_60d,non_intensified_rate_60d,follow_up_adequacy_60d,missingness_rate_60d,confidence_category_60d,actionability_60d,conclusion_type_60d,initiation_event_type_60d,n_90d,eligible_n_90d,eligible_observed_n_90d,eligible_proxy_n_90d,eligibility_uncertain_n_90d,evaluable_eligible_n_90d,censored_before_window_n_90d,initiated_n_90d,eligible_but_not_initiated_n_90d,initiation_rate_90d,treatment_gap_90d,wilson_95_lower_90d,wilson_95_upper_90d,non_intensified_n_90d,non_intensified_rate_90d,follow_up_adequacy_90d,missingness_rate_90d,confidence_category_90d,actionability_90d,conclusion_type_90d,initiation_event_type_90d
nmcrpc,nmCRPC,DE,Deep,deep,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable
nmcrpc,nmCRPC,JP,Deep,deep,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable
nmcrpc,nmCRPC,FR,Scan,scan,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable
nmcrpc,nmCRPC,CN,Scan,scan,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable
nmcrpc,nmCRPC,AU,Scan,scan,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable
nmcrpc,nmCRPC,CA,Scan,scan,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable,0,0,0,0,0,0,0,0,0,,,,,,,,,NOT COMPUTABLE,NOT_COMPUTABLE,NOT COMPUTABLE,not_computable
mcrpc,mCRPC,ALL,ALL,all,362,346,0,346,0,341,5,2,339,0.005865102639296188,0.9941348973607038,0.0016098652836885469,0.021129850574258983,,,0.9855491329479769,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation,362,346,0,346,0,337,9,2,335,0.005934718100890208,0.9940652818991098,0.001628991241610667,0.021377590114655703,,,0.9739884393063584,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation,362,346,0,346,0,332,14,3,329,0.009036144578313253,0.9909638554216867,0.0030777145017795333,0.026226576568772777,,,0.9595375722543352,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation
mcrpc,mCRPC,US,Deep,deep,120,113,0,113,0,110,3,2,108,0.01818181818181818,0.9818181818181818,0.005000250085743785,0.06388142410014258,,,0.9734513274336283,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation,120,113,0,113,0,110,3,2,108,0.01818181818181818,0.9818181818181818,0.005000250085743785,0.06388142410014258,,,0.9734513274336283,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation,120,113,0,113,0,109,4,2,107,0.01834862385321101,0.981651376146789,0.0050462566124631555,0.06444584559097954,,,0.9646017699115044,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation
mcrpc,mCRPC,DE,Deep,deep,56,55,0,55,0,53,2,0,53,0.0,1.0,0.0,0.06758430445307662,,,0.9636363636363636,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation,56,55,0,55,0,51,4,0,51,0.0,1.0,0.0,0.07004901388726806,,,0.9272727272727272,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation,56,55,0,55,0,50,5,0,50,0.0,1.0,0.0,0.07135003417431873,,,0.9090909090909091,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation
mcrpc,mCRPC,JP,Deep,deep,51,51,0,51,0,51,0,0,51,0.0,1.0,0.0,0.07004901388726806,,,1.0,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation,51,51,0,51,0,49,2,0,49,0.0,1.0,0.0,0.07270029673590504,,,0.9607843137254902,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation,51,51,0,51,0,48,3,0,48,0.0,1.0,0.0,0.0741026511527422,,,0.9411764705882353,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation
mcrpc,mCRPC,FR,Scan,scan,30,28,0,28,0,28,0,0,28,0.0,1.0,0.0,0.12064720365810762,,,1.0,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,30,28,0,28,0,28,0,0,28,0.0,1.0,0.0,0.12064720365810762,,,1.0,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,30,28,0,28,0,28,0,0,28,0.0,1.0,0.0,0.12064720365810762,,,1.0,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation
mcrpc,mCRPC,CN,Scan,scan,53,51,0,51,0,51,0,0,51,0.0,1.0,0.0,0.07004901388726806,,,1.0,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation,53,51,0,51,0,51,0,0,51,0.0,1.0,0.0,0.07004901388726806,,,1.0,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation,53,51,0,51,0,51,0,1,50,0.0196078431372549,0.9803921568627451,0.003469603253442241,0.10304807675589372,,,1.0,0.0,LOW,DIRECTIONAL_ONLY,PROXY-BASED,treatment_initiation
mcrpc,mCRPC,AU,Scan,scan,24,22,0,22,0,22,0,0,22,0.0,1.0,1.3877787807814457e-17,0.14865952572596125,,,1.0,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,24,22,0,22,0,22,0,0,22,0.0,1.0,1.3877787807814457e-17,0.14865952572596125,,,1.0,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,24,22,0,22,0,21,1,0,21,0.0,1.0,0.0,0.15464382326420195,,,0.9545454545454546,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation
mcrpc,mCRPC,CA,Scan,scan,28,26,0,26,0,26,0,0,26,0.0,1.0,0.0,0.12873304380462175,,,1.0,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,28,26,0,26,0,26,0,0,26,0.0,1.0,0.0,0.12873304380462175,,,1.0,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation,28,26,0,26,0,25,1,0,25,0.0,1.0,0.0,0.13319649395317873,,,0.9615384615384616,0.0,LOW,TOO_SMALL,PROXY-BASED,treatment_initiation
active_surveillance,Active surveillance uptake,ALL,ALL,all,5055,3367,3367,0,0,3367,0,634,2733,0.18829818829818828,0.8117018117018118,0.1754506382176543,0.20185620408546665,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,5055,3367,3367,0,0,3367,0,1738,1629,0.5161865161865162,0.48381348381348377,0.4992975102303802,0.5330386280206728,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,5055,3367,3367,0,0,3367,0,1738,1629,0.5161865161865162,0.48381348381348377,0.4992975102303802,0.5330386280206728,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
active_surveillance,Active surveillance uptake,US,Deep,deep,1217,823,823,0,0,823,0,135,688,0.16403402187120292,0.8359659781287971,0.1403057607238123,0.19088415521655644,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1217,823,823,0,0,823,0,429,394,0.5212636695018226,0.47873633049817743,0.48711436288675963,0.5552153892689131,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,1217,823,823,0,0,823,0,429,394,0.5212636695018226,0.47873633049817743,0.48711436288675963,0.5552153892689131,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
active_surveillance,Active surveillance uptake,DE,Deep,deep,955,651,651,0,0,651,0,140,511,0.21505376344086022,0.7849462365591398,0.18521213153623783,0.2482386449568867,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,955,651,651,0,0,651,0,380,271,0.5837173579109063,0.4162826420890937,0.545467263937159,0.6209852033465321,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,955,651,651,0,0,651,0,380,271,0.5837173579109063,0.4162826420890937,0.545467263937159,0.6209852033465321,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
active_surveillance,Active surveillance uptake,JP,Deep,deep,909,628,628,0,0,628,0,118,510,0.18789808917197454,0.8121019108280254,0.15927742443053067,0.2203139161839524,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,909,628,628,0,0,628,0,290,338,0.46178343949044587,0.5382165605095541,0.4231419578003123,0.5008896349279917,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,909,628,628,0,0,628,0,290,338,0.46178343949044587,0.5382165605095541,0.4231419578003123,0.5008896349279917,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
active_surveillance,Active surveillance uptake,FR,Scan,scan,592,386,386,0,0,386,0,82,304,0.21243523316062177,0.7875647668393783,0.17456624778492635,0.25597169377903195,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,592,386,386,0,0,386,0,203,183,0.5259067357512953,0.4740932642487047,0.47608314686018127,0.5752197412872099,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,592,386,386,0,0,386,0,203,183,0.5259067357512953,0.4740932642487047,0.47608314686018127,0.5752197412872099,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
active_surveillance,Active surveillance uptake,CN,Scan,scan,429,271,271,0,0,271,0,32,239,0.11808118081180811,0.8819188191881919,0.08489560547313352,0.1619433010097279,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,429,271,271,0,0,271,0,86,185,0.3173431734317343,0.6826568265682658,0.2648094567987965,0.3749830636930068,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,429,271,271,0,0,271,0,86,185,0.3173431734317343,0.6826568265682658,0.2648094567987965,0.3749830636930068,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
active_surveillance,Active surveillance uptake,AU,Scan,scan,476,311,311,0,0,311,0,68,243,0.21864951768488747,0.7813504823151125,0.1762966053156098,0.2678683334980667,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,476,311,311,0,0,311,0,178,133,0.572347266881029,0.427652733118971,0.5168079723264534,0.6261210434071729,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,476,311,311,0,0,311,0,178,133,0.572347266881029,0.427652733118971,0.5168079723264534,0.6261210434071729,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
active_surveillance,Active surveillance uptake,CA,Scan,scan,477,297,297,0,0,297,0,59,238,0.19865319865319866,0.8013468013468014,0.1572509765125369,0.24775152314176624,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,477,297,297,0,0,297,0,172,125,0.5791245791245792,0.42087542087542085,0.5223158774687234,0.6339125164767948,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake,477,297,297,0,0,297,0,172,125,0.5791245791245792,0.42087542087542085,0.5223158774687234,0.6339125164767948,,,1.0,0.0,MEDIUM,DIRECTIONAL_ONLY,PROXY-BASED,active_surveillance_uptake
