pathway,segment_dimension,segment_value,eligible_n,initiator_n,noninitiator_censored_n,death_before_initiation_n,lost_to_follow_up_before_initiation_n,administrative_censoring_before_initiation_n,median_days_observed_initiators,p25_days_observed_initiators,p75_days_observed_initiators,iqr_days_observed_initiators,p90_days_observed_initiators,km_median_time_to_initiation_days,small_cell_flag,conclusion_type,km_percent_not_initiated_by_30d,risk_set_at_30d,observable_at_30d_n,initiated_by_30d_n,crude_percent_not_initiated_by_30d_among_observable,km_percent_not_initiated_by_60d,risk_set_at_60d,observable_at_60d_n,initiated_by_60d_n,crude_percent_not_initiated_by_60d_among_observable,km_percent_not_initiated_by_90d,risk_set_at_90d,observable_at_90d_n,initiated_by_90d_n,crude_percent_not_initiated_by_90d_among_observable
mcrpc,care_setting,community_oncology,30,1,29.0,6.0,2.0,21.0,26.0,26.0,26.0,0.0,26.0,,False,PROXY-BASED,96.66666666666667,29.0,30.0,1.0,96.66666666666667,96.66666666666667,28.0,29.0,1.0,96.55172413793103,96.66666666666667,27.0,28.0,1.0,96.42857142857143
mcrpc,care_setting,community_urology,186,3,183.0,21.0,20.0,142.0,217.0,122.5,230.0,107.5,237.8,,False,PROXY-BASED,99.4535519125683,182.0,183.0,1.0,99.4535519125683,99.4535519125683,181.0,182.0,1.0,99.45054945054945,99.4535519125683,180.0,181.0,1.0,99.4475138121547
mcrpc,care_setting,mixed_pathway,56,0,56.0,11.0,3.0,42.0,,,,,,,False,PROXY-BASED,100.0,56.0,56.0,0.0,100.0,100.0,56.0,56.0,0.0,100.0,100.0,54.0,54.0,0.0,100.0
mcrpc,provider_specialty,urology,346,5,341.0,45.0,29.0,267.0,90.0,28.0,217.0,189.0,232.6,,False,PROXY-BASED,99.41348973607037,339.0,341.0,2.0,99.41348973607037,99.41348973607037,335.0,337.0,2.0,99.40652818991099,99.11223673687016,330.0,332.0,3.0,99.09638554216868
mcrpc,age_band,65-74,141,1,140.0,21.0,11.0,108.0,26.0,26.0,26.0,0.0,26.0,,False,PROXY-BASED,99.27536231884058,137.0,138.0,1.0,99.27536231884058,99.27536231884058,134.0,135.0,1.0,99.25925925925925,99.27536231884058,133.0,134.0,1.0,99.25373134328358
mcrpc,age_band,75-84,87,2,85.0,7.0,9.0,69.0,122.5,75.25,169.75,94.5,198.1,,False,PROXY-BASED,98.83720930232558,85.0,86.0,1.0,98.83720930232558,98.83720930232558,84.0,85.0,1.0,98.82352941176471,98.83720930232558,83.0,84.0,1.0,98.80952380952381
mcrpc,age_band,85+,14,0,14.0,3.0,1.0,10.0,,,,,,,True,PROXY-BASED,100.0,14.0,14.0,0.0,100.0,100.0,14.0,14.0,0.0,100.0,100.0,13.0,13.0,0.0,100.0
mcrpc,age_band,<65,104,2,102.0,14.0,8.0,80.0,166.5,128.25,204.75,76.5,227.7,,False,PROXY-BASED,100.0,103.0,103.0,0.0,100.0,100.0,103.0,103.0,0.0,100.0,99.00990099009901,101.0,101.0,1.0,99.00990099009901
mcrpc,comorbidity_band,0-1,158,3,155.0,17.0,15.0,123.0,90.0,59.0,153.5,94.5,191.6,,False,PROXY-BASED,99.35483870967742,154.0,155.0,1.0,99.35483870967742,99.35483870967742,151.0,152.0,1.0,99.34210526315789,98.68802771162589,149.0,150.0,2.0,98.66666666666667
mcrpc,comorbidity_band,2-3,140,1,139.0,19.0,10.0,110.0,243.0,243.0,243.0,0.0,243.0,,False,PROXY-BASED,100.0,138.0,138.0,0.0,100.0,100.0,137.0,137.0,0.0,100.0,100.0,135.0,135.0,0.0,100.0
mcrpc,comorbidity_band,4+,48,1,47.0,9.0,4.0,34.0,26.0,26.0,26.0,0.0,26.0,,False,PROXY-BASED,97.91666666666666,47.0,48.0,1.0,97.91666666666667,97.91666666666666,47.0,48.0,1.0,97.91666666666667,97.91666666666666,46.0,47.0,1.0,97.87234042553192
mhspc_mcspc,overall,ALL,2281,1751,530.0,78.0,45.0,407.0,49.0,36.0,62.0,26.0,75.0,56.0,False,DESCRIPTIVE,87.94388426128887,2026.0,2281.0,275.0,87.94388426128891,44.98027181060938,1059.0,2281.0,1255.0,44.98027181060938,25.471284524331427,583.0,2281.0,1700.0,25.471284524331434
mhspc_mcspc,market,AU,113,91,22.0,3.0,1.0,18.0,49.0,39.0,63.0,24.0,74.0,55.0,False,DESCRIPTIVE,91.15044247787611,104.0,113.0,10.0,91.15044247787611,44.24778761061944,52.0,113.0,63.0,44.24778761061947,20.353982300884947,23.0,113.0,90.0,20.353982300884955
mhspc_mcspc,market,CA,165,121,44.0,6.0,5.0,33.0,58.0,42.0,72.0,30.0,85.0,69.0,False,DESCRIPTIVE,93.33333333333333,158.0,165.0,11.0,93.33333333333333,60.60606060606057,102.0,165.0,65.0,60.60606060606061,31.51515151515152,52.0,165.0,113.0,31.515151515151516
mhspc_mcspc,market,CN,379,242,137.0,20.0,20.0,97.0,61.0,45.0,77.0,32.0,98.80000000000001,81.0,False,DESCRIPTIVE,93.13984168865434,354.0,379.0,26.0,93.13984168865436,69.39313984168864,268.0,379.0,116.0,69.39313984168865,45.64643799472293,175.0,379.0,206.0,45.64643799472295
mhspc_mcspc,market,DE,385,310,75.0,9.0,2.0,64.0,46.0,35.0,56.0,21.0,66.10000000000002,51.0,False,DESCRIPTIVE,87.79220779220779,340.0,385.0,47.0,87.79220779220779,32.2077922077922,130.0,385.0,261.0,32.20779220779221,19.740259740259734,76.0,385.0,309.0,19.74025974025974
mhspc_mcspc,market,FR,222,183,39.0,6.0,5.0,28.0,51.0,36.0,63.0,27.0,70.0,56.0,False,DESCRIPTIVE,87.83783783783785,197.0,222.0,27.0,87.83783783783784,42.792792792792795,99.0,222.0,127.0,42.792792792792795,17.56756756756757,39.0,222.0,183.0,17.56756756756757
mhspc_mcspc,market,JP,342,288,54.0,8.0,4.0,42.0,40.0,31.0,47.0,16.0,56.0,43.0,False,DESCRIPTIVE,79.53216374269006,279.0,342.0,70.0,79.53216374269006,20.17543859649123,71.0,342.0,273.0,20.17543859649123,15.789473684210527,54.0,342.0,288.0,15.789473684210526
mhspc_mcspc,market,US,675,516,159.0,26.0,8.0,125.0,51.0,38.0,64.0,26.0,75.0,59.0,False,DESCRIPTIVE,87.55555555555557,594.0,675.0,84.0,87.55555555555556,48.14814814814813,337.0,675.0,350.0,48.148148148148145,24.296296296296298,164.0,675.0,511.0,24.296296296296298
mhspc_mcspc,disease_state,mHSPC,2281,1751,530.0,78.0,45.0,407.0,49.0,36.0,62.0,26.0,75.0,56.0,False,DESCRIPTIVE,87.94388426128887,2026.0,2281.0,275.0,87.94388426128891,44.98027181060938,1059.0,2281.0,1255.0,44.98027181060938,25.471284524331427,583.0,2281.0,1700.0,25.471284524331434
mhspc_mcspc,care_setting,academic_oncology,506,377,129.0,22.0,17.0,90.0,51.0,37.0,63.0,26.0,77.0,60.0,False,DESCRIPTIVE,89.7233201581028,459.0,506.0,52.0,89.72332015810277,49.011857707509854,256.0,506.0,258.0,49.01185770750988,29.446640316205507,150.0,506.0,357.0,29.446640316205535
mhspc_mcspc,care_setting,community_oncology,200,156,44.0,12.0,2.0,30.0,42.5,30.0,53.25,23.25,61.5,47.0,False,DESCRIPTIVE,79.5,163.0,200.0,41.0,79.5,30.499999999999993,62.0,200.0,139.0,30.5,21.999999999999993,44.0,200.0,156.0,22.0
mhspc_mcspc,care_setting,community_urology,1185,922,263.0,34.0,20.0,209.0,49.0,36.0,62.0,26.0,74.89999999999998,56.0,False,DESCRIPTIVE,88.10126582278475,1051.0,1185.0,141.0,88.10126582278481,44.47257383966242,543.0,1185.0,658.0,44.472573839662445,24.050632911392373,286.0,1185.0,900.0,24.050632911392405
mhspc_mcspc,care_setting,mixed_pathway,390,296,94.0,10.0,6.0,78.0,50.0,37.75,65.0,27.25,76.5,60.0,False,DESCRIPTIVE,89.4871794871795,353.0,390.0,41.0,89.48717948717949,48.71794871794871,198.0,390.0,200.0,48.717948717948715,26.410256410256398,103.0,390.0,287.0,26.41025641025641
mhspc_mcspc,provider_specialty,urology,2281,1751,530.0,78.0,45.0,407.0,49.0,36.0,62.0,26.0,75.0,56.0,False,DESCRIPTIVE,87.94388426128887,2026.0,2281.0,275.0,87.94388426128891,44.98027181060938,1059.0,2281.0,1255.0,44.98027181060938,25.471284524331427,583.0,2281.0,1700.0,25.471284524331434
mhspc_mcspc,age_band,65-74,1003,767,236.0,33.0,17.0,186.0,48.0,37.0,62.0,25.0,75.0,57.0,False,DESCRIPTIVE,88.33499501495515,898.0,1003.0,117.0,88.33499501495514,44.66600199401795,466.0,1003.0,555.0,44.66600199401795,26.121635094715863,262.0,1003.0,741.0,26.121635094715852
mhspc_mcspc,age_band,75-84,565,436,129.0,20.0,14.0,95.0,47.0,33.0,61.25,28.25,74.0,55.0,False,DESCRIPTIVE,85.4867256637168,487.0,565.0,82.0,85.48672566371681,43.539823008849545,250.0,565.0,319.0,43.53982300884956,25.486725663716797,145.0,565.0,421.0,25.486725663716815
mhspc_mcspc,age_band,85+,72,53,19.0,2.0,3.0,14.0,50.0,38.0,63.0,25.0,73.60000000000002,60.0,False,DESCRIPTIVE,87.50000000000003,63.0,72.0,9.0,87.5,48.61111111111111,37.0,72.0,37.0,48.611111111111114,26.38888888888888,19.0,72.0,53.0,26.38888888888889
mhspc_mcspc,age_band,<65,641,495,146.0,23.0,11.0,112.0,50.0,37.0,64.0,27.0,75.0,57.0,False,DESCRIPTIVE,89.54758190327615,578.0,641.0,67.0,89.54758190327613,46.333853354134156,306.0,641.0,344.0,46.33385335413416,24.33697347893916,157.0,641.0,485.0,24.336973478939157
mhspc_mcspc,comorbidity_band,0-1,1133,889,244.0,37.0,22.0,185.0,48.0,36.0,63.0,27.0,75.0,56.0,False,DESCRIPTIVE,86.93733451015008,999.0,1133.0,148.0,86.93733451015004,44.0423654015887,516.0,1133.0,634.0,44.042365401588704,23.742277140335386,271.0,1133.0,864.0,23.742277140335393
mhspc_mcspc,comorbidity_band,2-3,915,711,204.0,33.0,17.0,154.0,48.0,36.0,62.0,26.0,74.0,56.0,False,DESCRIPTIVE,88.41530054644807,815.0,915.0,106.0,88.4153005464481,44.37158469945356,419.0,915.0,509.0,44.37158469945355,24.59016393442622,225.0,915.0,690.0,24.59016393442623
mhspc_mcspc,comorbidity_band,4+,233,151,82.0,8.0,6.0,68.0,49.0,36.5,61.0,24.5,69.0,63.0,False,DESCRIPTIVE,90.98712446351934,212.0,233.0,21.0,90.98712446351931,51.931330472103,124.0,233.0,112.0,51.93133047210301,37.33905579399141,87.0,233.0,146.0,37.33905579399141
nmcrpc,overall,ALL,0,0,,,,,,,,,,,True,NOT COMPUTABLE,,,,,,,,,,,,,,,
