record_type,table_name,metric,market_code,value,denominator,proportion,date_min,date_max
followup_landmark,observation,enough_observation_30d,AU,800,800,1.0,,
followup_landmark,observation,enough_observation_60d,AU,800,800,1.0,,
followup_landmark,observation,enough_observation_90d,AU,800,800,1.0,,
followup_landmark,observation,enough_observation_365d,AU,770,800,0.9625,,
followup_landmark,observation,enough_observation_30d,CA,900,900,1.0,,
followup_landmark,observation,enough_observation_60d,CA,900,900,1.0,,
followup_landmark,observation,enough_observation_90d,CA,900,900,1.0,,
followup_landmark,observation,enough_observation_365d,CA,863,900,0.9588888888888889,,
followup_landmark,observation,enough_observation_30d,CN,1200,1200,1.0,,
followup_landmark,observation,enough_observation_60d,CN,1200,1200,1.0,,
followup_landmark,observation,enough_observation_90d,CN,1200,1200,1.0,,
followup_landmark,observation,enough_observation_365d,CN,1139,1200,0.9491666666666667,,
followup_landmark,observation,enough_observation_30d,DE,1800,1800,1.0,,
followup_landmark,observation,enough_observation_60d,DE,1800,1800,1.0,,
followup_landmark,observation,enough_observation_90d,DE,1800,1800,1.0,,
followup_landmark,observation,enough_observation_365d,DE,1728,1800,0.96,,
followup_landmark,observation,enough_observation_30d,FR,1100,1100,1.0,,
followup_landmark,observation,enough_observation_60d,FR,1100,1100,1.0,,
followup_landmark,observation,enough_observation_90d,FR,1100,1100,1.0,,
followup_landmark,observation,enough_observation_365d,FR,1048,1100,0.9527272727272728,,
followup_landmark,observation,enough_observation_30d,JP,1600,1600,1.0,,
followup_landmark,observation,enough_observation_60d,JP,1600,1600,1.0,,
followup_landmark,observation,enough_observation_90d,JP,1600,1600,1.0,,
followup_landmark,observation,enough_observation_365d,JP,1540,1600,0.9625,,
followup_landmark,observation,enough_observation_30d,US,2600,2600,1.0,,
followup_landmark,observation,enough_observation_60d,US,2600,2600,1.0,,
followup_landmark,observation,enough_observation_90d,US,2600,2600,1.0,,
followup_landmark,observation,enough_observation_365d,US,2518,2600,0.9684615384615385,,
